Local Authority,Business Name,Business Type,Address,Postcode,Latitude,Longitude,Hygiene Score,Structural Score,Hygiene Rating,Deprivation Score,Deprivation Rank
Wiltshire,Stonegate Ltd,Mobile caterer,LACOCK GREEN CORSHAM ROAD,,51.4254357,-2.1388537,0,5,5,13.608,11989.35
Wiltshire,Mish Mash,Mobile caterer,,,,,0,5,5,13.608,11989.35
Wiltshire,The Slinky Fox,Mobile caterer,26 HIGH POST BUSINESS PARK,SP4 6AT,51.127085,-1.7883375,0,5,5,13.608,11989.35
Wiltshire,Prairie Rose Bars,Mobile caterer,,,,,0,5,5,13.608,11989.35
Wiltshire,Pizza Revolution,Mobile caterer,,,,,0,5,5,13.608,11989.35
Wiltshire,Kitchen Garden Pizza Co.,Mobile caterer,,,,,0,5,5,13.608,11989.35
Wiltshire,Claire's Cafe,Mobile caterer,CARPETRIGHT BATH ROAD,SN14 0AT,,,0,5,5,13.608,11989.35
Wiltshire,Crust Lust Pizza,Mobile caterer,,,,,0,5,5,13.608,11989.35
Wiltshire,Phoenix Wood Fired Pizza,Mobile caterer,,,,,0,5,5,13.608,11989.35
Wiltshire,"Pudding Prosecco, Halfway Hut",Mobile caterer,RUSHMORE GOLF CLUB,SP5 5QB,,,0,5,5,13.608,11989.35
Wiltshire,Carpe Diem Catering Ltd,Mobile caterer,,,,,0,5,5,13.608,11989.35
Wiltshire,Snack Shack,Mobile caterer,,,,,0,5,5,13.608,11989.35
Wiltshire,R & V Catering,Mobile caterer,UNIT 21 CHELWORTH PARK CHELWORTH ROAD,SN6 6HE,51.6302586,-1.8805258,0,5,5,13.608,11989.35
Wiltshire,The Coffee Girl,Mobile caterer,,,,,0,5,5,13.608,11989.35
Windsor and Maidenhead,Royal Collection Trust,Mobile caterer,,,,,0,5,5,8.881,7338.72
Windsor and Maidenhead,Olives And Honey T/A Greeklicious & Greeklicious Ltd,Mobile caterer,,,,,0,5,5,8.881,7338.72
Windsor and Maidenhead,Sterling Leisure (Thames Valley) Ltd,Mobile caterer,,,,,0,5,5,8.881,7338.72
Windsor and Maidenhead,Miocotto,Mobile caterer,8 Farmers Way,SL6 3PL,51.5126027,-0.7614617,0,5,5,8.881,7338.72
Windsor and Maidenhead,Freddie's Kitchen,Mobile caterer,6 The Lawn,SL3 9HB,51.4829299,-0.5717617,0,5,5,8.881,7338.72
Wokingham,Ziggy's,Mobile caterer,,,,,0,5,5,6.102,4328.48
Wokingham,Arborfield Kebab Van,Mobile caterer,Street Record,,51.38881004,-0.903087884,0,5,5,6.102,4328.48
Wokingham,Munchies,Mobile caterer,,,,,0,5,5,6.102,4328.48
Wokingham,BBQ'd & BRAAI'd,Mobile caterer,,,,,0,5,5,6.102,4328.48
